Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,CPU Jobs,Categorical Features,Categorical Imputer,Clustering,Clustering Iteration,Combine Rare Levels,Experiment Name,Feature Interaction,Feature Ratio,Feature Selection,Feature Selection Method,Features Selection Threshold,Fix Imbalance,Fix Imbalance Method,Fold Generator,Fold Number,Group Features,High Cardinality Features,High Cardinality Method,Ignore Low Variance,Imputation Type,Interaction Threshold,Iterative Imputation Categorical Model,Iterative Imputation Iteration,Iterative Imputation Numeric Model,Label Encoded,Log Experiment,Missing Values,Multicollinearity Threshold,Normalize,Normalize Method,Numeric Binning,Numeric Features,Numeric Imputer,Ordinal Features,Original Data,Outliers Threshold,PCA,PCA Components,PCA Method,Polynomial Degree,Polynomial Features,Polynomial Threshold,Rare Level Threshold,Remove Multicollinearity,Remove Outliers,Remove Perfect Collinearity,Shuffle Train-Test,Stratify Train-Test,Target,Target Type,Transformation,Transformation Method,Transformed Test Set,Transformed Train Set,Trignometry Features,USI,Unknown Categoricals Handling,Use GPU,accuracy_metric,alpha,boosting_type,bootstrap,ccp_alpha,class_weight,colsample_bytree,copy_X,criterion,device,dtype,fit_intercept,handle,importance_type,l1_ratio,learning_rate,linesearch_max_iter,max_batch_size,max_depth,max_features,max_iter,max_leaf_nodes,max_leaves,max_samples,min_child_samples,min_child_weight,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_split_gain,min_weight_fraction_leaf,n_bins,n_components,n_estimators,n_jobs,n_streams,normalize,num_leaves,objective,oob_score,output_type,penalty,presort,priors,random_state,reg_alpha,reg_lambda,session_id,shrinkage,silent,solver,split_criterion,splitter,store_covariance,subsample,subsample_for_bin,subsample_freq,tol,var_smoothing,verbose,warm_start,AUC,Accuracy,F1,Kappa,MCC,Prec.,Recall,TT,Source,URI,USI,Run Time,Run ID
2024-09-08 20:22:50,,77d678e1a1a04ba69842aba076be1b7f,Light Gradient Boosting Machine,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gbdt,,,None,1.0,,,gpu,,,,split,,0.1,,,-1,,,,,,20,0.001,,,,,0.0,,,,100,-1,,,31,None,,,,,,42,0.0,0.0,,,warn,,,,,1.0,200000,0,,,,,0.8205,0.7375,0.7593,0.4745,0.4815,0.7045,0.8232,7.3,tune_model,bd90e8f8,b267,619.37,77d678e1a1a04ba69842aba076be1b7f
2024-09-08 20:09:45,,66e495988c9545f68a65633acdc63404,Light Gradient Boosting Machine,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gbdt,,,None,1.0,,,gpu,,,,split,,0.1,,,-1,,,,,,20,0.001,,,,,0.0,,,,100,-1,,,31,None,,,,,,42,0.0,0.0,,,warn,,,,,1.0,200000,0,,,,,0.8211,0.7385,0.762,0.4764,0.4849,0.7025,0.8325,5.62,create_model,be9bdc71,b267,48.54,66e495988c9545f68a65633acdc63404
2024-09-08 20:08:56,,a5b6ecce9bd4459cbf72c227a16ec850,Naive Bayes,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,1e-09,,,0.7337,0.6732,0.725,0.3451,0.3709,0.6284,0.8569,0.145,compare_models,e282cd85,b267,1.69,a5b6ecce9bd4459cbf72c227a16ec850
2024-09-08 20:08:55,,48635f03843a4b2db1946320d43d0568,Linear Discriminant Analysis,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,None,,,,,None,,svd,,,False,,,,0.0001,,,,0.7733,0.6998,0.7272,0.3989,0.4063,0.6695,0.7959,0.979,compare_models,820ba5bd,b267,10.02,48635f03843a4b2db1946320d43d0568
2024-09-08 20:08:55,,4f5e27da5e194c068ab3ca5661cb8093,Ridge Classifier,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,None,,None,,,,True,None,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,None,,,,,,,,,,eig,,,,,,,,,False,,0,0.6998,0.7272,0.3989,0.4063,0.6695,0.7959,0.185,compare_models,8a9876c1,b267,2.1,4f5e27da5e194c068ab3ca5661cb8093
2024-09-08 20:08:54,,eae63535f5ce4ce8a81c1fb1b9968346,Logistic Regression,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,True,<cuml.raft.common.handle.Handle object at 0x7f880e299bd0>,,None,,50,,,,1000,,,,,,,,,,,,,,,,,,,,,input,l2,,,,,,,,,qn,,,,,,,0.0001,,4,,0.7842,0.7097,0.74,0.4187,0.4294,0.6731,0.8218,0.169,compare_models,7d43a2f7,b267,1.96,eae63535f5ce4ce8a81c1fb1b9968346
2024-09-08 20:08:54,,c2ec1a8e7543473d9ce7ec136c4b214b,Random Forest Classifier,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,True,,None,,,None,,None,,<cuml.raft.common.handle.Handle object at 0x7f880d851150>,,,,,4096,16,auto,,None,-1,1.0,,,0.0,None,1,2,,None,128,,100,None,4,,,,None,input,,,,42,,,,,,,0,,,,,,,,4,None,0.8183,0.7361,0.762,0.4715,0.482,0.697,0.8404,1.725,compare_models,50ad9aad,b267,17.5,c2ec1a8e7543473d9ce7ec136c4b214b
2024-09-08 20:08:53,,6e056cd4a33e48ddbf76a16f98f8f7c6,Decision Tree Classifier,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,None,,,gini,,,,,,,,,,None,None,,None,,,,,0.0,None,1,2,,0.0,,,,,,,,,,,,deprecated,,42,,,,,,,,best,,,,,,,,,0.8172,0.7363,0.7577,0.472,0.4787,0.7041,0.8202,0.49,compare_models,a57ab182,b267,5.14,6e056cd4a33e48ddbf76a16f98f8f7c6
2024-09-08 20:08:53,,4197f3af94504b568b7ff2ac2b278749,Extra Trees Classifier,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,None,,,gini,,,,,,,,,,None,auto,,None,,None,,,0.0,None,1,2,,0.0,,,100,-1,,,,,False,,,,,42,,,,,,,,,,,,,,,0,False,0.8178,0.7364,0.7579,0.4723,0.479,0.7042,0.8204,3.565,compare_models,c1ca82ae,b267,35.95,4197f3af94504b568b7ff2ac2b278749
2024-09-08 20:08:52,,aca84ece89bf41c0bda40d6a60a69238,Light Gradient Boosting Machine,LOCAL,/opt/conda/lib/python3.8/site-packages/ipykernel_launcher.py,root,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gbdt,,,None,1.0,,,gpu,,,,split,,0.1,,,-1,,,,,,20,0.001,,,,,0.0,,,,100,-1,,,31,None,,,,,,42,0.0,0.0,,,warn,,,,,1.0,200000,0,,,,,0.8211,0.7385,0.762,0.4764,0.4849,0.7025,0.8325,4.155,compare_models,872693fa,b267,41.83,aca84ece89bf41c0bda40d6a60a69238
